epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec,inference_time_ms_per_sample,max_vram_mb,model_flops,model_params
1,3.6215,15.98,3.0998,23.54,69.29,0.434,849.68,375.38 MFLOPs,5368996
2,2.9082,27.51,2.7865,29.88,69.46,0.4342,849.68,375.38 MFLOPs,5368996
3,2.5984,33.81,2.6289,34.19,69.31,0.434,849.68,375.38 MFLOPs,5368996
4,2.3383,38.7,2.5289,36.01,69.32,0.4345,849.68,375.38 MFLOPs,5368996
5,2.0644,44.44,2.3867,39.27,69.29,0.4338,849.68,375.38 MFLOPs,5368996
6,1.7894,50.75,2.4025,40.05,69.34,0.434,849.68,375.38 MFLOPs,5368996
7,1.5062,57.15,2.3845,42.25,69.3,0.4342,849.68,375.38 MFLOPs,5368996
8,1.2132,64.44,2.4212,42.6,69.31,0.4345,849.68,375.38 MFLOPs,5368996
9,0.929,71.96,2.5802,42.43,69.32,0.4342,849.68,375.38 MFLOPs,5368996
10,0.6865,78.57,2.7915,42.26,69.32,0.4344,849.68,375.38 MFLOPs,5368996
11,0.5597,82.3,2.9577,42.62,69.3,0.4347,849.68,375.38 MFLOPs,5368996
12,0.4628,85.28,3.0974,41.73,69.27,0.4342,849.68,375.38 MFLOPs,5368996
13,0.4101,86.82,3.2093,41.94,69.27,0.4341,849.68,375.38 MFLOPs,5368996
14,0.4,86.97,3.3617,41.43,69.27,0.4344,849.68,375.38 MFLOPs,5368996
15,0.3386,89.21,3.3962,42.46,69.28,0.4344,849.68,375.38 MFLOPs,5368996
16,0.3283,89.47,3.383,42.14,69.19,0.434,849.68,375.38 MFLOPs,5368996
17,0.3139,89.98,3.4191,42.51,69.28,0.4343,849.68,375.38 MFLOPs,5368996
18,0.3207,89.66,3.4682,42.25,69.25,0.4341,849.68,375.38 MFLOPs,5368996
19,0.2817,90.97,3.5376,42.33,69.28,0.4343,849.68,375.38 MFLOPs,5368996
20,0.2868,90.82,3.5575,42.25,69.34,0.4344,849.68,375.38 MFLOPs,5368996
21,0.2761,91.05,3.5566,43.44,69.25,0.4345,849.68,375.38 MFLOPs,5368996
